"DHSCLUST","LONGNUM","LATNUM","ALT","EVI","LSTD","LSTN","NLIGHT","POPDEN","RDIST","RFALL","WDIST","URBAN_RURA","GRUMP","LCType"
160,6.975436,5.532783,-0.53280438061637,0.246051229121787,-0.226626709383842,NA,0.981813605126934,-0.250477121205584,0.253615266633395,1.15193668687421,0.23009377200371,"R",2,"urban"
161,7.794041,4.990432,-0.811628820982516,-0.13604565848387,NA,-0.8070918962595,0.998455177407434,-0.0823657947348347,0.0725339792379413,1.58416672875483,0.855753708307518,"R",2,"crop"
162,7.618569,5.130846,-0.522877634335557,-0.266617796057757,NA,-0.0160700726306408,-0.290264971109413,-0.226333059784479,-2.55126701841707,1.30845658640159,0.580385378201111,"U",2,"urban"
163,7.931678,4.922886,-0.813307784952486,0.365235355283172,NA,-0.596044749114444,0.581918825367553,-0.237272442048264,-1.25324949750859,1.73706834505444,0.550290416221145,"U",2,"urban"
164,7.620035,4.578965,-1.82446535842624,-0.76275848698534,-0.350097987329029,-1.44742770057774,-0.877833920491156,-0.302262301172094,0.211027591575934,3.10612481020299,-0.069859717934091,"U",2,"urban"
165,8.306769,4.593795,-2.34751271868365,-1.61540160389374,-1.67536267708522,0.540217465495536,-0.877833920491156,-0.274312489054585,1.04815919746035,2.29831346373274,0.249256947105475,"U",1,"crop"
166,7.574349,5.200888,-0.361540700657008,0.00842393259976859,NA,-0.574575171451989,-0.877833920491156,-0.27018331449073,0.255998806946126,1.19884752916523,0.28264992521615,"U",1,"grass"
167,7.759809,4.887476,-0.858827081832354,0.323107515927577,-0.326078578999413,-0.866287891177516,-0.225813284366804,-0.309777544092733,0.135238999665719,1.89877201709223,0.0405564202879537,"U",1,"crop"
168,7.944945,5.041625,-0.954049898898723,-1.01191411228848,NA,-1.21220967302366,1.75627715837882,0.0394236200923576,0.256351186424305,1.46147016802369,0.792017520604427,"R",1,"crop"
169,5.983744,4.333322,-1.92542658466057,-0.887859459680165,-1.83679674902253,-0.514177504919632,-0.877833920491156,-0.279601023023884,1.70846045012541,2.2309820296155,-1.0920365249648,"R",1,"crop"
170,6.335797,4.805707,-1.56819120801624,0.997557463284083,-0.327951977804061,-0.780936799919911,-0.877833920491156,-0.336731291513526,0.183827874688724,1.99315647263997,0.0931159467164052,"R",2,"crop"
171,6.341854,4.921934,-1.67639847466838,1.24150503391968,-0.454246940068543,-0.605251475383158,-0.877833920491156,-0.232099813445064,-0.576254533369978,1.91718719876056,0.353783499398449,"R",1,"crop"
172,6.305483,5.0192,-1.50576282771238,0.0946042429653377,-0.336438909853997,-0.641723616895052,-0.877833920491156,-0.24815167928108,0.833906623420673,1.89274115226554,-0.0571863382009888,"R",1,"crop"
173,8.475463,4.916046,-0.927562415657813,0.5198276933411,NA,-1.11045568881086,-0.549304611232544,-0.275463500452013,-0.690628556833808,1.97453091079684,-0.354415322985558,"U",1,"grass"
174,9.076679,6.175264,-0.126486847877358,-0.999942329284907,NA,0.574771774945057,-0.877833920491156,-0.355202030764306,1.08893142211801,1.02305582236922,-0.132612723279302,"R",1,"crop"
175,8.268083,5.959396,-0.820800774881707,0.393931200104847,NA,0.861819113781658,-0.797061588185376,-0.284634618698333,0.18167763398714,0.850664074838335,0.400489876935533,"R",1,"crop"
176,8.1091,5.935648,-1.26434326212538,0.0972776467426097,-1.29177133826085,-0.695045232608771,-0.877833920491156,-0.27784465462332,0.270723147311149,0.802666818599363,-1.61928706976121,"R",1,"crop"
177,8.316339,4.92243,-1.96192997338522,-0.520951646612553,0.152651913010818,NA,1.14230391044783,0.679550605004475,0.888447830894896,1.90596992335232,-0.782093720996647,"R",1,"grass"
178,5.748918,5.45245,-1.7812535516445,0.394689766938448,-0.665272026725092,-0.665181265362982,0.649717800812154,-0.323819023657338,0.783934398705233,2.14932579474954,0.199003726375984,"R",1,"grass"
179,5.47075,5.259904,-2.05960754175005,-0.733575855398178,NA,-0.824075726482006,-0.877833920491156,-0.353164694618561,1.69826311571569,2.77546130600078,-0.411437261592652,"R",1,"grass"
180,6.173596,6.13535,-0.00943561653576446,0.936476329585223,NA,-0.853316547123777,0.42362109040209,-0.275508534778986,-2.55126701841707,0.64563169862497,0.544324607292453,"R",2,"grass"
181,6.344194,5.645299,-1.47078155329971,1.50871131074573,-0.265147576513571,-0.162376671535053,-0.877833920491156,-0.34092122348257,0.347323102033932,1.24784662834502,0.75811014793552,"R",1,"grass"
182,6.188596,5.861285,-1.09876358484448,0.784543450640653,NA,-0.501008689507027,1.65819530621079,-0.280247741048215,0.386289291543994,1.04633084187494,0.0167103350673812,"R",2,"grass"
183,6.203391,6.252299,0.0667796438384594,-1.33485833939007,NA,0.0863953112674502,1.18223948432219,-0.0936514156010241,-0.62262230222317,0.457093622422158,-0.279214156093678,"U",1,"grass"
184,5.67311,5.886476,-2.0498959616319,-1.1036008172608,-0.868458458279811,-0.253372467457276,1.748307762585,-0.147298043417869,0.909133655328285,1.42561919629718,0.00292317953327181,"R",1,"grass"
