"DHSCLUST","LONGNUM","LATNUM","arabiensis_crop","EVI_Sept_2011_crop","GHA_alt_crop","GHA_popden14_crop","GHA_Roaddist_crop","GHA_waterdist_crop","LC_2011_crop","LST_Day_crop","LST_Night_crop","Nightlights_crop","Rainfall_Sept11_crop","URBAN_RURA","LCType","GRUMP"
144,-2.940953,7.430862,-0.889458367321344,0.488765995295681,0.809488043272162,-0.589335173339909,-1.02643114014768,0.918461637942082,1,-1.08472733274723,-0.508557406442229,-0.851800874707723,-0.121905173660503,"R","crop",1
145,-1.714682,6.323633,-1.15052293654848,0.336702487028264,0.483684509737637,-1.08402788080311,0.0391006871474179,-0.48218751642268,0,-0.496926937934251,-1.60435828960878,-0.756343715532704,-0.132394863757196,"R","crop",1
146,-0.238172,5.559207,0.445084654835615,-1.64073234026258,-1.54763325377596,2.5529259270571,-0.176725227176949,0.449389759401023,1,1.42807587600784,-0.0858089056834648,2.18732719071003,-1.55827479504386,"R","urban",2
147,-1.754193,4.921209,0.608197871290436,-0.851252776654494,-2.11114636072276,-0.232657798925274,-0.839706207433355,0.667328670027352,1,-2.45166472987853,-1.17513158117558,1.21375958436765,-1.00705781875918,"U","crop",2
148,0.022525,5.644931,NA,-2.22754883052893,-2.57211390563416,0.897349058654998,0.0525490317322581,0.867372579078658,0,1.09300359778161,0.449432166704756,1.64182647439523,-1.60980727780271,"U","grass",2
149,-0.859477,9.409584,0.345517083640923,-0.698094812312553,0.487112135464062,-0.612073551300844,-0.211864603195224,0.419694346532383,1,0.049747579310283,0.489337064307592,1.10962259440685,1.0959566669987,"U","crop",2
150,-2.435404,6.860922,-0.902797702751373,2.50781875272664,0.561066690987396,-0.475458703016065,0.219776280746313,0.422945982087545,0,-0.943961202602287,-0.416553843652457,-0.668656860099491,0.561412925096076,"U","crop",1
151,-0.189446,5.587754,0.675414479718906,-0.991786301876708,-0.791088857199527,2.38335727849978,-0.687172227066078,1.05088987312923,1,-0.394433157951727,0.446299234278339,2.24162610085688,-1.60316686469184,"U","urban",2
152,-0.630286,5.331395,0.383894168457035,-1.87234522493948,-1.80636529363426,2.12522867125866,0.515949291014786,-0.0534200144102301,1,-0.620094021633979,-0.860281837485631,0.0705225222706159,-1.5350731615628,"U","urban",2
153,-0.875165,10.700325,0.723371213437713,-0.0193487629645978,0.452366580287398,-0.742154186298132,0.18708623532085,0.218312597198712,0,0.0205821107109182,1.00597565434992,-0.887463004798451,0.853848079083908,"U","crop",1
154,-0.694926,7.729985,0.426856117270853,0.0961114733635739,0.394680168438481,0.079071506411317,-0.573009810826605,0.645416087425135,0,-1.50281625321056,0.856978429477945,-0.284541194469254,1.88483309522952,"U","grass",1
155,-1.350747,6.501284,-3.07903272410415,0.916632469078869,0.801973913878617,-0.581865060553819,1.12857996031447,0.359538405861709,0,-1.38880153004166,-1.40657014587433,-0.583552021650543,0.63363799152851,"U","crop",1
156,-0.291018,5.662976,0.653036077010047,-0.87062127334528,-0.440131320352726,0.562512302145892,0.367577669812837,-0.354894296388641,0,0.715451751668358,0.96592319107159,1.45046511091221,-1.39711908180535,"R","grass",2
